Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross
Action,Medium,Light,PG-13,None,Skyscraper,Medium,7/13/2018,125000000,31562840,71955649
Animated,None,Light,PG,None,Hotel Transylvania 3: Summer Vacation,Light,7/13/2018,65000000,57597439,112373051
Thriller,Heavy,Medium,R,Medium,The First Purge,Heavy,7/4/2018,13000000,52929930,76023230
Science Fiction,Heavy,Light,PG-13,None,Ant-Man And The Wasp,Medium,7/6/2018,130000000,142156135,293129020
Thriller,Heavy,None,R,None,Sicario: Day Of The Soldado,Heavy,6/29/2018,35000000,44370869,60095029
Drama,Medium,None,PG-13,Medium,Hearts Beat Loud,None,6/8/2018,2000000,2113992,2113992
Drama,Heavy,Light,R,Light,Gotti,Heavy,6/15/2018,10000000,4286367,4286367
Science Fiction,Medium,None,PG-13,None,Jurassic World: Fallen Kingdom,Medium,6/22/2018,170000000,369030065,1139566100
Comedy,Heavy,Light,R,Medium,Tag,Medium,6/15/2018,28000000,51810390,66904888
Animated,Light,None,PG,None,Incredibles 2,Light,6/15/2018,200000000,541517471,862100621
Thriller,Heavy,None,R,Light,Hotel Artemis,Heavy,6/8/2018,15000000,6699202,11577426
Horror,Heavy,Medium,R,Light,Hereditary,Heavy,6/8/2018,10000000,43106695,66839326
Comedy,Heavy,Heavy,R,Medium,Action Point,Heavy,6/1/2018,19000000,5059608,5059608
Action Adventure,Medium,Medium,PG-13,Light,Adrift,Medium,6/1/2018,35000000,31227655,61316385
Action,Heavy,Heavy,R,Medium,Deadpool 2,Heavy,5/18/2018,110000000,316474854,730848212
Romance,Medium,None,PG-13,Light,Book Club,None,5/18/2018,10000000,67905549,78929603
Thriller,Heavy,None,PG-13,Light,Breaking In,Medium,5/11/2018,6000000,46383120,49984637
Science Fiction,Medium,Light,PG-13,Light,Avengers: Infinity War,Medium,4/27/2018,300000000,676245568,2019190029
Comedy,Heavy,Light,PG-13,Light,I Feel Pretty,Light,4/20/2018,32000000,48795601,82608010
Horror,Medium,Light,PG-13,None,King Kong,Heavy,12/14/2005,207000000,218080025,550517357
