date,content
2012-02-06,1
2012-02-07,1
2012-02-08,1
2012-02-14,1
2012-02-29,1
2012-03-07,1
2012-03-08,1
2012-03-12,1
2012-03-16,2
2012-03-19,2
2012-03-20,1
2012-03-24,2
2012-03-30,2
2012-04-25,3
2012-05-10,1
2012-05-14,3
2012-05-18,1
2012-05-29,1
2012-05-31,1
2012-06-01,1
2012-06-27,5
2012-06-28,1
2012-06-30,1
2012-07-08,2
2012-07-09,12
2012-07-10,21
2012-07-11,1
2012-07-12,18
2012-07-21,3
2012-07-25,2
2012-07-27,6
2012-07-28,2
2012-07-29,4
2012-07-31,3
2012-08-01,15
2012-08-03,15
2012-08-04,13
2012-08-05,4
2012-10-02,2
2012-10-14,1
2012-10-18,1
2012-10-29,1
2012-10-30,2
2012-11-21,1
2012-11-28,3
2012-12-02,1
2012-12-05,1
2012-12-26,1
2012-12-27,1
2013-01-01,1
2013-01-16,2
2013-02-01,1
2013-02-22,1
2013-04-27,1
2013-05-15,2
2013-05-17,2
2013-05-18,4
2013-05-19,1
2013-05-20,2
2013-05-23,1
2013-05-25,1
2013-05-26,1
2013-06-05,1
2013-06-06,1
2013-06-07,1
2013-06-11,1
2013-06-14,3
2013-06-15,1
2013-06-19,2
2013-06-21,2
2013-06-23,2
2013-06-25,4
2013-06-26,2
2013-06-27,3
2013-06-28,6
2013-06-29,2
2013-06-30,1
2013-07-02,2
2013-07-03,7
2013-07-09,2
2013-07-10,8
2013-07-12,3
2013-07-13,5
2013-07-14,1
2013-07-17,1
2013-08-20,2
2013-08-22,1
2013-12-20,1
2014-02-15,1
2014-04-06,1
2014-04-19,1
2014-10-18,1
2014-10-24,7
2014-10-25,81
2014-10-26,6
2014-10-27,10
2014-10-28,60
2014-10-29,8
2014-11-02,112
2014-11-06,117
2014-11-07,92
2014-11-10,139
2014-11-11,62
2014-11-25,89
2014-11-26,239
2014-11-27,413
2014-11-28,745
2014-11-29,839
2014-11-30,420
2014-12-01,1180
2014-12-02,123
2014-12-03,79
2014-12-04,79
2014-12-05,91
2014-12-06,67
2014-12-07,1
2014-12-08,79
2014-12-09,258
2014-12-10,275
2014-12-11,6
2014-12-12,76
2014-12-13,200
2014-12-14,99
2014-12-15,627
2014-12-16,3
2014-12-17,2
2014-12-21,105
2014-12-22,101
2014-12-23,138
2014-12-24,52
2014-12-25,1
