week,topicnumber,content
-51,0,10.0
-51,5,0.0
-51,11,0.0
-51,13,2.0
-51,4,2.0
-51,15,4.0
-51,16,9.0
-51,2,34.0
-51,19,5.0
-51,7,5.0
-4,11,0.0
-4,0,13.0
-4,2,52.0
-4,15,7.0
-4,5,1.0
-4,19,3.0
-4,7,3.0
-4,16,4.0
-4,4,4.0
-4,13,0.0
-3,2,16.0
-3,4,0.0
-3,19,1.0
-3,13,0.0
-3,16,2.0
-3,7,0.0
-3,5,0.0
-3,15,2.0
-3,0,2.0
-3,11,0.0
-2,5,0.0
-2,19,5.0
-2,7,3.0
-2,11,3.0
-2,16,9.0
-2,4,2.0
-2,15,12.0
-2,13,0.0
-2,0,18.0
-2,2,71.0
-1,15,12.0
-1,13,2.0
-1,5,3.0
-1,2,48.0
-1,7,1.0
-1,4,3.0
-1,0,14.0
-1,19,7.0
-1,16,6.0
-1,11,0.0
0,11,0.0
0,7,1.0
0,4,0.0
0,13,2.0
0,19,2.0
0,15,13.0
0,5,1.0
0,0,6.0
0,2,45.0
0,16,7.0
1,15,3.0
1,7,2.0
1,0,5.0
1,4,0.0
1,5,0.0
1,2,15.0
1,11,0.0
1,13,2.0
1,19,4.0
1,16,4.0
2,16,94.0
2,4,13.0
2,0,132.0
2,13,18.0
2,2,381.0
2,15,79.0
2,11,3.0
2,5,9.0
2,7,27.0
2,19,48.0
3,19,39.0
3,2,221.0
3,13,7.0
3,11,1.0
3,0,108.0
3,15,52.0
3,16,49.0
3,4,14.0
3,7,20.0
3,5,13.0
4,13,5.0
4,2,113.0
4,16,31.0
4,19,15.0
4,0,43.0
4,15,23.0
4,11,1.0
4,7,10.0
4,5,7.0
4,4,7.0
5,19,30.0
5,15,42.0
5,0,80.0
5,5,22.0
5,4,8.0
5,2,237.0
5,16,57.0
5,7,20.0
5,11,2.0
5,13,13.0
6,0,106.0
6,2,194.0
6,16,34.0
6,5,7.0
6,7,17.0
6,11,0.0
6,15,52.0
6,19,26.0
6,4,14.0
6,13,13.0
7,0,180.0
7,4,20.0
7,11,11.0
7,16,122.0
7,13,26.0
7,2,415.0
7,15,93.0
7,19,71.0
7,7,31.0
7,5,38.0
8,0,154.0
8,2,290.0
8,15,58.0
8,16,66.0
8,4,37.0
8,5,44.0
8,7,30.0
8,19,30.0
8,13,15.0
8,11,5.0
9,4,4.0
9,2,17.0
9,15,16.0
9,16,14.0
9,11,3.0
9,13,1.0
9,5,10.0
9,0,21.0
9,7,5.0
9,19,8.0
10,11,3.0
10,5,25.0
10,15,16.0
10,16,10.0
10,4,14.0
10,19,12.0
10,0,35.0
10,13,14.0
10,2,42.0
10,7,4.0
11,0,39.0
11,11,88.0
11,13,5.0
11,7,20.0
11,5,14.0
11,15,25.0
11,2,61.0
11,19,12.0
11,4,6.0
11,16,27.0
12,5,36.0
12,0,288.0
12,11,4.0
12,13,27.0
12,2,629.0
12,7,58.0
12,4,32.0
12,19,95.0
12,15,146.0
12,16,143.0
13,7,11.0
13,4,8.0
13,0,20.0
13,11,2.0
13,15,9.0
13,13,3.0
13,2,31.0
13,16,14.0
13,5,10.0
13,19,5.0
14,15,65.0
14,2,178.0
14,7,27.0
14,4,10.0
14,5,26.0
14,11,6.0
14,19,35.0
14,0,98.0
14,16,59.0
14,13,40.0
15,5,9.0
15,19,15.0
15,15,34.0
15,4,19.0
15,16,28.0
15,7,15.0
15,11,9.0
15,2,115.0
15,0,67.0
15,13,13.0
16,15,47.0
16,11,13.0
16,19,40.0
16,7,59.0
16,5,25.0
16,2,96.0
16,0,76.0
16,16,25.0
16,4,88.0
16,13,22.0
17,13,25.0
17,2,289.0
17,15,85.0
17,5,33.0
17,7,189.0
17,16,68.0
17,11,14.0
17,4,50.0
17,19,88.0
17,0,139.0
18,5,50.0
18,16,98.0
18,4,73.0
18,19,133.0
18,7,237.0
18,0,285.0
18,2,352.0
18,13,38.0
18,11,89.0
18,15,233.0
19,5,34.0
19,0,111.0
19,19,63.0
19,11,9.0
19,13,20.0
19,4,38.0
19,16,43.0
19,2,155.0
19,7,146.0
19,15,72.0
20,11,70.0
20,5,161.0
20,13,42.0
20,4,57.0
20,15,97.0
20,7,132.0
20,0,147.0
20,2,189.0
20,19,70.0
20,16,43.0
21,15,37.0
21,16,32.0
21,7,34.0
21,5,30.0
21,0,69.0
21,4,27.0
21,19,27.0
21,2,82.0
21,11,5.0
21,13,18.0
22,16,120.0
22,13,48.0
22,15,251.0
22,7,181.0
22,19,96.0
22,4,113.0
22,11,367.0
22,0,296.0
22,5,77.0
22,2,496.0
23,16,173.0
23,11,108.0
23,0,272.0
23,7,218.0
23,5,61.0
23,4,169.0
23,15,251.0
23,2,301.0
23,19,129.0
23,13,29.0
24,16,57.0
24,7,92.0
24,4,194.0
24,13,53.0
24,2,149.0
24,19,30.0
24,11,10.0
24,0,164.0
24,5,515.0
24,15,100.0
25,4,156.0
25,16,35.0
25,19,47.0
25,11,44.0
25,0,142.0
25,5,2263.0
25,2,759.0
25,13,12.0
25,7,160.0
25,15,119.0
26,4,29.0
26,19,39.0
26,0,71.0
26,2,101.0
26,7,156.0
26,13,10.0
26,11,35.0
26,16,25.0
26,5,36.0
26,15,54.0
27,4,169.0
27,7,196.0
27,11,127.0
27,16,250.0
27,13,148.0
27,2,1156.0
27,0,764.0
27,19,211.0
27,15,346.0
27,5,152.0
28,16,33.0
28,13,14.0
28,19,23.0
28,0,84.0
28,4,26.0
28,11,9.0
28,2,72.0
28,15,36.0
28,7,111.0
28,5,15.0
29,5,100.0
29,19,91.0
29,15,121.0
29,2,209.0
29,13,77.0
29,0,190.0
29,16,58.0
29,11,78.0
29,4,78.0
29,7,312.0
30,11,6.0
30,4,28.0
30,15,65.0
30,19,25.0
30,16,22.0
30,5,31.0
30,0,132.0
30,13,42.0
30,7,195.0
30,2,85.0
31,0,81.0
31,5,25.0
31,7,14.0
31,11,40.0
31,16,18.0
31,19,19.0
31,13,6.0
31,15,54.0
31,4,30.0
31,2,104.0
32,4,31.0
32,11,4.0
32,2,151.0
32,13,9.0
32,19,34.0
32,15,140.0
32,0,111.0
32,5,27.0
32,16,31.0
32,7,16.0
33,7,10.0
33,11,7.0
33,2,254.0
33,19,29.0
33,4,34.0
33,15,85.0
33,5,34.0
33,0,388.0
33,13,11.0
33,16,56.0
34,2,87.0
34,0,102.0
34,15,44.0
34,7,67.0
34,5,25.0
34,11,11.0
34,16,25.0
34,4,39.0
34,13,23.0
34,19,28.0
35,13,23.0
35,15,78.0
35,16,55.0
35,11,12.0
35,2,157.0
35,4,42.0
35,5,37.0
35,7,45.0
35,19,31.0
35,0,155.0
36,15,53.0
36,2,157.0
36,13,24.0
36,19,30.0
36,7,31.0
36,5,43.0
36,11,9.0
36,16,53.0
36,0,124.0
36,4,41.0
37,0,79.0
37,11,5.0
37,5,13.0
37,15,40.0
37,19,29.0
37,2,109.0
37,16,21.0
37,4,38.0
37,7,27.0
37,13,10.0
38,7,20.0
38,16,66.0
38,2,194.0
38,0,125.0
38,15,112.0
38,4,56.0
38,13,40.0
38,5,31.0
38,11,32.0
38,19,71.0
39,4,51.0
39,0,110.0
39,2,180.0
39,13,15.0
39,19,48.0
39,7,25.0
39,11,32.0
39,16,50.0
39,15,83.0
39,5,27.0
40,0,75.0
40,16,33.0
40,19,44.0
40,4,35.0
40,2,128.0
40,15,45.0
40,13,24.0
40,5,52.0
40,7,23.0
40,11,23.0
41,15,221.0
41,13,89.0
41,4,130.0
41,16,126.0
41,19,72.0
41,5,96.0
41,2,347.0
41,0,303.0
41,7,65.0
41,11,212.0
42,15,137.0
42,0,191.0
42,16,78.0
42,5,60.0
42,11,118.0
42,7,68.0
42,2,249.0
42,19,82.0
42,4,110.0
42,13,56.0
43,2,92.0
43,0,77.0
43,19,23.0
43,5,34.0
43,15,44.0
43,13,11.0
43,4,38.0
43,11,7.0
43,16,33.0
43,7,29.0
44,2,113.0
44,15,35.0
44,7,23.0
44,5,26.0
44,19,24.0
44,11,18.0
44,16,37.0
44,4,34.0
44,0,73.0
44,13,16.0
45,5,39.0
