author,account_category,followers
TEN_GOP,RightTroll,145244
JENN_ABRAMS,RightTroll,71022
PAMELA_MOORE13,RightTroll,70734
TODAYNYCITY,NewsFeed,62088
ELEVEN_GOP,RightTroll,59100
CRYSTAL1JOHNSON,LeftTroll,56725
WOKELUISA,LeftTroll,55467
SOUTHLONESTAR,RightTroll,53782
USA_GUNSLINGER,RightTroll,43895
THEFOUNDINGSON,RightTroll,42000
BLACKNEWSOUTLET,LeftTroll,40788
TODAYINSYRIA,NewsFeed,33188
KANIJJACKSON,LeftTroll,33178
WASHINGTONLINE,NewsFeed,32191
PIGEONTODAY,RightTroll,30486
BLACKTOLIVE,LeftTroll,29469
NEWORLEANSON,NewsFeed,28785
WARFAREWW,NewsFeed,26740
KANSASDAILYNEWS,NewsFeed,25871
DANAGEEZUS,HashtagGamer,24663
ANDYHASHTAGGER,HashtagGamer,23890
SANANTOTOPNEWS,NewsFeed,22250
DALLASTOPNEWS,NewsFeed,22205
TPARTYNEWS,RightTroll,22009
CHRIXMORGAN,HashtagGamer,21760
CHICAGODAILYNEW,NewsFeed,21712
TRAYNESHACOLE,LeftTroll,20824
TODAYPITTSBURGH,NewsFeed,20608
DAILYLOSANGELES,NewsFeed,20449
DAILYSANFRAN,NewsFeed,20306
TODAYMIAMI,NewsFeed,20268
DETROITDAILYNEW,NewsFeed,20171
HOUSTONTOPNEWS,NewsFeed,19959
SEATTLE_POST,NewsFeed,19849
REALTEN_GOP,RightTroll,19754
ONLINEMEMPHIS,NewsFeed,19424
BLACKMATTERSUS,LeftTroll,18961
ATLANTA_ONLINE,NewsFeed,18927
DAILYSANDIEGO,NewsFeed,18375
ELPASOTOPNEWS,NewsFeed,18019
BLEEPTHEPOLICE,LeftTroll,17921
POLITWEECS,RightTroll,17515
TODAYCINCINNATI,NewsFeed,17455
ONLINECLEVELAND,NewsFeed,17156
PHILADELPHIAON,NewsFeed,16939
DAILYSANJOSE,NewsFeed,16840
TODAYBOSTONMA,NewsFeed,16035
JEMISHAAAZZZ,LeftTroll,15755
MATEVIDENCE,NewsFeed,15565
PHOENIXDAILYNEW,NewsFeed,15410
TODAYCLEVELAND,NewsFeed,14187
DAILYSANJOSE,NewsFeed,13819
SCREAMYMONKEY,NewsFeed,13295
OAKLANDONLINE,NewsFeed,13016
PATRIOTOTUS,RightTroll,13014
ROOMOFRUMOR,NewsFeed,12337
MINNEAPOLISON,NewsFeed,12296
POLIT_OBSERVER,NewsFeed,12098
SPECIALAFFAIR,NewsFeed,12023
NATPOLNEWS,RightTroll,11700
WORLDOFHASHTAGS,HashtagGamer,10893
PAMELAKEALER13,RightTroll,10811
10_GOP,RightTroll,10465
REDLANEWS,RightTroll,10228
SOUTHLONESTAR2,RightTroll,9390
STLOUISONLINE,NewsFeed,9302
RIGHTNPR,RightTroll,9298
LACHRISTIE,RightTroll,8939
JEBLARY2016,RightTroll,8855
LORAGREEEN,HashtagGamer,8079
PATRIOT_ARCHIVE,RightTroll,7724
AMANDAVGREEN,HashtagGamer,7402
BALTIMORE0NLINE,NewsFeed,7293
KATHIEMRR,HashtagGamer,6849
TEBEPIZDEC,Unknown,6343
DICKYIRWIN,HashtagGamer,5906
MISSOURINEWSUS,RightTroll,5872
NEWSPEAKDAILY,NewsFeed,5866
MARCH_FOR_TRUMP,RightTroll,5806
ITSTIMETOSECEDE,RightTroll,5720
JIHADIST2NDWIFE,RightTroll,5649
JOHNCOPPER16,RightTroll,5638
ILIKEBIGBUTTAND,HashtagGamer,5627
NOTRITAHART,HashtagGamer,5574
DOMINICVALENT,HashtagGamer,5453
BOOTH_PRINCE,HashtagGamer,5444
CASCASEYP,HashtagGamer,5424
CLAUDIA42KERN,HashtagGamer,5352
PRIBYSHIN,Unknown,5246
TRACEYHAPPYMOM,HashtagGamer,5168
MELVINSROBERTS,HashtagGamer,5152
BGARNER2107,HashtagGamer,5082
BABYJANNYMEOW,HashtagGamer,5062
INSTOTUS,RightTroll,4939
CASSIEWELTCH,HashtagGamer,4934
QUEENOFTHEWO,HashtagGamer,4888
4MYSQUAD,LeftTroll,4811
BLACKEYEBLOG,LeftTroll,4768
JMSCOXXX,HashtagGamer,4755
GAB1ALDANA,HashtagGamer,4751
