week,topicnumber,content
8,0,23.0
8,5,14.0
8,7,1.0
8,2,3.0
8,11,17.0
8,13,0.0
8,15,0.0
8,16,0.0
8,19,4.0
8,4,1.0
10,5,0.0
10,2,2.0
10,0,0.0
10,16,0.0
10,15,0.0
10,11,1.0
10,4,0.0
10,19,0.0
10,13,0.0
10,7,0.0
11,0,1.0
11,4,0.0
11,16,0.0
11,7,0.0
11,15,0.0
11,19,0.0
11,13,0.0
11,2,0.0
11,5,1.0
11,11,0.0
12,5,11.0
12,19,0.0
12,11,10.0
12,15,0.0
12,16,0.0
12,0,7.0
12,7,0.0
12,4,4.0
12,13,0.0
12,2,1.0
14,11,7.0
14,5,6.0
14,15,0.0
14,7,3.0
14,0,3.0
14,16,0.0
14,13,0.0
14,2,1.0
14,4,2.0
14,19,0.0
16,5,4.0
16,11,10.0
16,16,0.0
16,13,0.0
16,2,0.0
16,7,1.0
16,19,1.0
16,15,0.0
16,0,7.0
16,4,3.0
17,7,1.0
17,15,0.0
17,11,11.0
17,2,1.0
17,4,2.0
17,16,0.0
17,0,19.0
17,13,0.0
17,19,4.0
17,5,9.0
18,5,8.0
18,13,0.0
18,15,0.0
18,16,0.0
18,7,0.0
18,4,2.0
18,11,9.0
18,19,2.0
18,0,26.0
18,2,3.0
19,13,0.0
19,2,1.0
19,4,0.0
19,7,2.0
19,16,0.0
19,15,0.0
19,0,10.0
19,11,2.0
19,5,5.0
19,19,0.0
20,7,8.0
20,16,0.0
20,13,0.0
20,2,0.0
20,0,6.0
20,19,1.0
20,5,6.0
20,11,7.0
20,15,0.0
20,4,2.0
21,2,0.0
21,7,1.0
21,11,0.0
21,0,4.0
21,13,0.0
21,19,2.0
21,16,0.0
21,5,4.0
21,4,0.0
21,15,0.0
22,13,0.0
22,16,0.0
22,19,11.0
22,15,0.0
22,11,29.0
22,0,46.0
22,5,38.0
22,7,18.0
22,4,9.0
22,2,4.0
23,19,8.0
23,11,17.0
23,2,15.0
23,15,0.0
23,5,10.0
23,0,25.0
23,7,17.0
23,4,8.0
23,16,0.0
23,13,0.0
24,19,3.0
24,2,0.0
24,16,0.0
24,15,0.0
24,11,2.0
24,5,1.0
24,7,0.0
24,13,0.0
24,4,0.0
24,0,4.0
25,2,0.0
25,16,0.0
25,19,3.0
25,4,0.0
25,15,0.0
25,11,3.0
25,7,1.0
25,5,1.0
25,13,0.0
25,0,6.0
26,4,0.0
26,5,1.0
26,7,0.0
26,11,1.0
26,19,1.0
26,16,0.0
26,13,0.0
26,2,0.0
26,15,0.0
26,0,0.0
27,7,17.0
27,16,0.0
27,5,83.0
27,13,0.0
27,0,150.0
27,4,15.0
27,19,24.0
27,15,0.0
27,11,107.0
27,2,28.0
28,7,1.0
28,2,0.0
28,13,0.0
28,5,2.0
28,11,2.0
28,16,0.0
28,4,0.0
28,19,0.0
28,15,0.0
28,0,8.0
29,4,3.0
29,0,6.0
29,19,1.0
29,15,0.0
29,16,0.0
29,7,2.0
29,2,0.0
29,13,0.0
29,5,5.0
29,11,6.0
30,16,0.0
30,7,3.0
30,19,1.0
30,4,1.0
30,0,5.0
30,5,4.0
30,13,0.0
30,2,0.0
30,15,0.0
30,11,6.0
31,0,4.0
31,19,0.0
31,2,0.0
31,7,0.0
31,11,3.0
31,16,0.0
31,5,0.0
31,4,1.0
31,15,0.0
31,13,0.0
32,11,10.0
32,7,0.0
32,5,10.0
32,4,2.0
32,15,0.0
32,16,0.0
32,13,0.0
32,19,2.0
32,0,12.0
32,2,1.0
33,4,1.0
33,19,1.0
33,7,2.0
33,13,0.0
33,11,6.0
33,5,67.0
33,15,0.0
33,16,0.0
33,0,7.0
33,2,0.0
34,16,0.0
34,15,0.0
