author,account_category,tweets
EXQUOTE,Commercial,59652
SCREAMYMONKEY,NewsFeed,44041
WORLDNEWSPOLI,RightTroll,36974
AMELIEBALDWIN,RightTroll,35371
TODAYPITTSBURGH,NewsFeed,33602
SPECIALAFFAIR,NewsFeed,32588
SEATTLE_POST,NewsFeed,30800
FINDDIET,Commercial,29038
KANSASDAILYNEWS,NewsFeed,28890
ROOMOFRUMOR,NewsFeed,28360
DAILYSANFRAN,NewsFeed,28076
WORLDOFHASHTAGS,HashtagGamer,23724
COVFEFENATIONUS,RightTroll,23544
JENN_ABRAMS,RightTroll,22861
CHICAGODAILYNEW,NewsFeed,22236
FUNDDIET,Commercial,20192
CHESPLAYSCHESS,RightTroll,19216
TODAYNYCITY,NewsFeed,18534
ONLINECLEVELAND,NewsFeed,17706
HYDDROX,RightTroll,17411
TODAYINSYRIA,NewsFeed,15401
NEWORLEANSON,NewsFeed,14897
ARM_2_ALAN,RightTroll,14721
CHRIXMORGAN,HashtagGamer,14705
DAILYSANDIEGO,NewsFeed,14414
DAILYLOSANGELES,NewsFeed,14156
DETROITDAILYNEW,NewsFeed,14115
TODAYMIAMI,NewsFeed,14081
PHOENIXDAILYNEW,NewsFeed,13796
PHILADELPHIAON,NewsFeed,13383
CANNONSHER,LeftTroll,13021
DANAGEEZUS,HashtagGamer,12841
STLOUISONLINE,NewsFeed,12707
DEBESSTRS,RightTroll,12186
BIZGOD,Commercial,12156
WASHINGTONLINE,NewsFeed,11768
TODAYCINCINNATI,NewsFeed,11761
TEN_GOP,RightTroll,11341
ELIZEESTR,RightTroll,11251
TODAYCLEVELAND,NewsFeed,11006
BATONROUGEVOICE,NewsFeed,10758
SANANTOTOPNEWS,NewsFeed,10666
NEWSPEAKDAILY,NewsFeed,10666
ANTONHAYHAY,LeftTroll,10426
BALTIMORE0NLINE,NewsFeed,10331
ONLINEMEMPHIS,NewsFeed,10309
DALLASTOPNEWS,NewsFeed,10092
MRCLYDEPRATT,LeftTroll,9726
NEWARKVOICE,NewsFeed,9724
DAILYSANJOSE,NewsFeed,9655
BOOTH_PRINCE,HashtagGamer,9551
MILWAUKEEVOICE,NewsFeed,9358
BLEEPTHEPOLICE,LeftTroll,9342
ANDYHASHTAGGER,HashtagGamer,9294
PIGEONTODAY,RightTroll,9110
JADONHUTCHINSON,LeftTroll,9045
THEFOUNDINGSON,RightTroll,8863
ATLANTA_ONLINE,NewsFeed,8499
OAKLANDONLINE,NewsFeed,8435
ALECMOOOOODY,LeftTroll,8369
CHAASNTR,RightTroll,8347
JASSSCOTT,LeftTroll,8238
WATCHMEWALKIN,LeftTroll,8206
CRYSTAL1JOHNSON,LeftTroll,8081
TRAYNESHACOLE,LeftTroll,7846
JEANUTTELLA,LeftTroll,7395
BRENTMCCLURE275,LeftTroll,7297
PATRIOTBLAKE,RightTroll,7254
ROBERTEBONYKING,LeftTroll,7199
LAWWAANCTR,RightTroll,6973
PAOLAKINCK,RightTroll,6696
BRIANAREGLAND,LeftTroll,6610
JAVONHIDP,LeftTroll,6610
TODAYBOSTONMA,NewsFeed,6595
JANI_S_JAC,LeftTroll,6448
LORAGREEEN,HashtagGamer,6363
ADNNELSTR,RightTroll,6363
JESSIE_JESSIE_C,Unknown,6327
RH0LBR00K,RightTroll,6298
ACEJINEV,LeftTroll,6260
PAMELA_MOORE13,RightTroll,6242
DANISSTRS,RightTroll,6222
PRETTYLARAPLACE,RightTroll,6215
BLACKTOLIVE,LeftTroll,6205
IIDDAAMARKS,LeftTroll,6170
BAOBAEHAM,LeftTroll,6164
JACKSONCITYPOST,NewsFeed,6140
