Country,Year,National_Income_Top_1
Australia,1965,0.0634000003
Australia,1966,0.0615999997
Australia,1967,0.0625
Australia,1968,0.0604999997
Australia,1969,0.0592
Australia,1970,0.0557999983
Australia,1971,0.0559
Australia,1972,0.0573999994
Australia,1973,0.0540999994
Australia,1974,0.0498000011
Australia,1975,0.0489999987
Australia,1976,0.0476000011
Australia,1977,0.0471000001
Australia,1978,0.0465999991
Australia,1979,0.0461999997
Australia,1980,0.0458000004
Australia,1981,0.0441999994
Australia,1982,0.0449000001
Australia,1983,0.0450000018
Australia,1984,0.0454999991
Australia,1985,0.0482000001
Australia,1986,0.0520000011
Australia,1987,0.0604000017
Australia,1988,0.0705000013
Australia,1989,0.0590999983
Australia,1990,0.057
Australia,1991,0.058600001
Australia,1992,0.0599000007
Australia,1993,0.0623000003
Australia,1994,0.0647
Australia,1995,0.064199999
Australia,1996,0.0645999983
Australia,1997,0.0688999966
Australia,1998,0.0705000013
Australia,1999,0.0789000019
Australia,2000,0.0820999965
Australia,2001,0.0756999999
Australia,2002,0.0793000013
Australia,2003,0.0812000036
Australia,2004,0.0842000023
Australia,2005,0.0872000009
Australia,2006,0.0951000005
Australia,2007,0.0910999998
Australia,2008,0.0807999969
Australia,2009,0.0837000012
Australia,2010,0.0855000019
Australia,2011,0.0821999982
Australia,2012,0.0851999968
Australia,2013,0.0904000029
Australia,2014,0.0898000002
Australia,2015,0.0909999982
Australia,2016,
Austria,1965,
Austria,1966,
Austria,1967,
Austria,1968,
Austria,1969,
Austria,1970,
Austria,1971,
Austria,1972,
Austria,1973,
Austria,1974,
Austria,1975,
Austria,1976,
Austria,1977,
Austria,1978,
Austria,1979,
Austria,1980,
Austria,1981,
Austria,1982,
Austria,1983,
Austria,1984,
Austria,1985,
Austria,1986,
Austria,1987,
Austria,1988,
Austria,1989,
Austria,1990,
Austria,1991,
Austria,1992,
Austria,1993,
Austria,1994,
Austria,1995,
Austria,1996,
Austria,1997,
Austria,1998,
Austria,1999,
Austria,2000,
Austria,2001,
Austria,2002,
Austria,2003,
Austria,2004,
Austria,2005,
Austria,2006,
Austria,2007,
Austria,2008,
Austria,2009,
Austria,2010,
Austria,2011,
Austria,2012,
Austria,2013,
Austria,2014,
Austria,2015,
Austria,2016,
Belgium,1965,
Belgium,1966,
Belgium,1967,
Belgium,1968,
Belgium,1969,
Belgium,1970,
Belgium,1971,
Belgium,1972,
Belgium,1973,
Belgium,1974,
Belgium,1975,
Belgium,1976,
Belgium,1977,
Belgium,1978,
Belgium,1979,
Belgium,1980,
Belgium,1981,
Belgium,1982,
Belgium,1983,
Belgium,1984,
Belgium,1985,
Belgium,1986,
Belgium,1987,
Belgium,1988,
Belgium,1989,
Belgium,1990,
Belgium,1991,
Belgium,1992,
Belgium,1993,
Belgium,1994,
Belgium,1995,
Belgium,1996,
Belgium,1997,
Belgium,1998,
Belgium,1999,
Belgium,2000,
Belgium,2001,
Belgium,2002,
Belgium,2003,
Belgium,2004,
Belgium,2005,
Belgium,2006,
Belgium,2007,
Belgium,2008,
Belgium,2009,
Belgium,2010,
Belgium,2011,
Belgium,2012,
Belgium,2013,
Belgium,2014,
Belgium,2015,
Belgium,2016,
Canada,1965,0.0920099989
Canada,1966,0.0890799984
Canada,1967,0.0899700001
Canada,1968,0.0903500021
