Country,Year,Top_1
Argentina,1980,
Argentina,1981,
Argentina,1982,
Argentina,1983,
Argentina,1984,
Argentina,1985,
Argentina,1986,
Argentina,1987,
Argentina,1988,
Argentina,1989,
Argentina,1990,
Argentina,1991,
Argentina,1992,
Argentina,1993,
Argentina,1994,
Argentina,1995,
Argentina,1996,
Argentina,1997,0.1238999963
Argentina,1998,0.1256999969
Argentina,1999,0.1352999955
Argentina,2000,0.1433999985
Argentina,2001,0.1290999949
Argentina,2002,0.1553000063
Argentina,2003,0.1685000062
Argentina,2004,0.1675000042
Argentina,2005,
Argentina,2006,
Argentina,2007,
Argentina,2008,
Argentina,2009,
Argentina,2010,
Argentina,2011,
Argentina,2012,
Argentina,2013,
Argentina,2014,
Argentina,2015,
Argentina,2016,
Australia,1980,0.0458000004
Australia,1981,0.0441999994
Australia,1982,0.0449000001
Australia,1983,0.0450000018
Australia,1984,0.0454999991
Australia,1985,0.0482000001
Australia,1986,0.0520000011
Australia,1987,0.0604000017
Australia,1988,0.0705000013
Australia,1989,0.0590999983
Australia,1990,0.057
Australia,1991,0.058600001
Australia,1992,0.0599000007
Australia,1993,0.0623000003
Australia,1994,0.0647
Australia,1995,0.064199999
Australia,1996,0.0645999983
Australia,1997,0.0688999966
Australia,1998,0.0705000013
Australia,1999,0.0789000019
Australia,2000,0.0820999965
Australia,2001,0.0756999999
Australia,2002,0.0793000013
Australia,2003,0.0812000036
Australia,2004,0.0842000023
Australia,2005,0.0872000009
Australia,2006,0.0951000005
Australia,2007,0.0910999998
Australia,2008,0.0807999969
Australia,2009,0.0837000012
Australia,2010,0.0855000019
Australia,2011,0.0821999982
Australia,2012,0.0851999968
Australia,2013,0.0904000029
Australia,2014,0.0898000002
Australia,2015,0.0909999982
Australia,2016,
Bahrain,1980,
Bahrain,1981,
Bahrain,1982,
Bahrain,1983,
Bahrain,1984,
Bahrain,1985,
Bahrain,1986,
Bahrain,1987,
Bahrain,1988,
Bahrain,1989,
Bahrain,1990,0.1852220595
Bahrain,1991,0.185221985
Bahrain,1992,0.1852273345
Bahrain,1993,0.1852329671
Bahrain,1994,0.1852389276
Bahrain,1995,0.1852452457
Bahrain,1996,0.1852519214
Bahrain,1997,0.1852589697
Bahrain,1998,0.1852663606
Bahrain,1999,0.1852739751
Bahrain,2000,0.1723668873
Bahrain,2001,0.1723717153
Bahrain,2002,0.1727931648
Bahrain,2003,0.1732391268
Bahrain,2004,0.1737108231
Bahrain,2005,0.1742126942
Bahrain,2006,0.1747537553
Bahrain,2007,0.1753187478
Bahrain,2008,0.1759371459
Bahrain,2009,0.1765935868
Bahrain,2010,0.1812106818
Bahrain,2011,0.1809094101
Bahrain,2012,0.1806144267
Bahrain,2013,0.1803256273
