"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",4.72895665360607,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",4.77278741293946,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",4.94637704689765,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",5.34062760293477,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",5.46838147635583,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",5.63079517539705,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",5.74768246591118,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",5.64104471433459,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",5.2355501033016,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",4.95757623190143,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",4.73987382724249,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",4.92317360996543,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",5.58318460698361,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",6.26881417893477,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",5.99288606984587,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",5.85636939102146,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",5.94136186376641,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",6.34156221598301,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",6.571755892687,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",6.9225191951316,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",7.60467819254899,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1990",10.4765134259639,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1991",11.0532436817151,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1992",11.4702763102888,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1993",11.6521465656099,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1994",11.6893125484567,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1995",10.6315410552099,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",10.2567869243253,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",9.99756794575811,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",9.74523910174535,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",9.60062530586383,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",9.34259556171534,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",9.9182143569497,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",10.418383294625,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",10.6681424856536,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",10.8230618492846,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",11.0024000841602,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",10.9790379158401,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",11.3281529307086,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",12.7062198992819,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",13.5519263093943,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",12.9762555550843,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",12.1118164292137,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",11.7790586246626,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",11.4158742847073,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",10.7860084859202,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",8.30201649360049,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",8.2811102345839,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2017",8.1919874830825,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1970",8.1962198186387,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1971",8.80006219812045,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1972",9.19448767947395,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1973",9.3682655008928,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1974",9.48204204044448,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1975",10.1472804613352,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1976",10.6873887792616,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1977",11.0120017378082,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1978",11.3511119858296,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1979",11.1957244849796,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1980",10.7581712899689,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1981",10.6760581129987,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1982",10.9535645829469,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1983",10.987930800588,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1984",10.5513281709662,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1985",10.4514208697693,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1986",11.116610214929,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1987",11.6626107501477,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1988",11.7926346666988,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1989",11.6595990883882,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1990",11.6959165710933,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1991",12.1020849602639,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1992",12.5561282657703,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1993",12.5295768061726,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1994",12.3192936584626,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1995",12.0961579194372,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",11.8944832300928,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",11.8467674385188,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",12.8869524549687,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",12.6486429259359,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",11.4435043497983,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",12.416135908244,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",13.4350437545387,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",14.0469976469688,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",13.4559796092102,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",12.822948079934,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",12.2988545180092,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",12.463749869206,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",12.2913270318579,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",14.6453312317631,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",14.5015747536664,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",14.254360628882,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",14.1906128106115,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",14.4562236329792,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",14.9299973146172,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",15.8375762800358,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",16.4783015141878,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2017",16.2450267655115,
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1970",2.74278395312091,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1971",2.91544630723894,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1972",3.12000549076325,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1973",3.33868081032637,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1974",3.03094283402572,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1975",3.39731680965203,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1976",3.71285659243942,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1977",4.12418609009421,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1978",3.62608634462843,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1979",3.42122664521172,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1980",2.50134257826197,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1981",3.24060657631108,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1982",2.81730146967539,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1983",3.1093341790162,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1984",2.65511446031987,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1985",2.65981412668229,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1986",2.67340473221834,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1987",2.32631770140474,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1988",2.26380992521839,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1989",2.77848558504938,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1990",3.25954385343785,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1991",3.67613495425315,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1992",3.82361536204262,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1993",3.87250020745762,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1994",3.46391202107879,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1995",3.20743408158656,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",3.44086462944172,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",3.64564303530913,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",3.77678169745248,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",4.51376475487253,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",4.26239756779756,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",4.53055625933978,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",4.59930165341792,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",4.5169163098837,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",4.42352637846995,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",4.37561027706539,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",4.62789086121049,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",4.80059972536202,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",4.87359506285341,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",5.60794846199751,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",5.32427728663111,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",4.87253026254286,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",5.06103439554383,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",5.02271407365912,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",5.01094348910522,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",4.93492568611967,"E"
"TUR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",5.27535111240338,"E"
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1970",2.5762129669386,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1971",2.72332741094574,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1972",3.14099253486079,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1973",2.43946676339893,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1974",2.79572075787764,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1975",2.76056391657385,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1976",3.01112868759193,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1977",3.06042558705852,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1978",2.87774096734617,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1979",2.98706659755609,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1980",3.55549475188301,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1981",3.68522423161139,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1982",4.00220898861386,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1983",3.91531820848121,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1984",3.91018757802907,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1985",3.895593285618,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1986",3.73447813338937,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1987",3.68146390039008,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1988",3.85310543098171,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1989",4.34221308969043,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1990",4.6300103736591,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1991",4.47887031495681,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1992",4.62557919459108,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1993",4.5315033167921,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1994",4.49966152553365,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1995",4.50967075757162,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",4.66013275116141,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",4.66784865986823,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",5.19817082471522,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",5.07952533036746,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",5.00860694670494,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",5.72147751214861,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",5.66996907494814,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",5.93973254666671,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",6.1148488567384,
"KOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",6.36910980277937,
