Downloaded from wid.world on 05-09-2018 at 17:10:16
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
AU;Australia;agdpro992i;p0p100;"AUD; Australian dollar";Gross domestic product. Average Adults. individuals;Average Gross domestic product within a given percentile group. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;;;"WID.world computations using: [URL][URL_LINK]http://wid.world/document/revised-extended-national-wealth-series-australia-canada-france-germany-italy-japan-uk-usa-wid-world-technical-note-2017-23/[/URL_LINK][URL_TEXT]Piketty, Thomas; Zucman, Gabriel (2014).Capital is back: Wealth-Income ratios in Rich Countries 1700-2010. Series updated by Luis Bauluz.[/URL_TEXT][/URL]"
AU;Australia;sptinc992t;p99p100;share;Pre-tax national income. Share Adults. tax unit;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Fiscal income rescaled to match the macroeconomic aggregates.;WID.world computations using fiscal and net national income.
AU;Australia;sptinc992i;p99p100;share;Pre-tax national income. Share Adults. individuals;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Fiscal income rescaled to match the macroeconomic aggregates.;WID.world computations using fiscal and net national income.
AU;Australia;wwealn999i;p0p100;% of national income;Net national wealth to Net National Income Ratio. Wealth-income ratio All Ages. individuals;Wealth-Income Ratio is the division of national wealth by national income.; ;;"[URL][URL_LINK]http://wid.world/document/revised-extended-national-wealth-series-australia-canada-france-germany-italy-japan-uk-usa-wid-world-technical-note-2017-23/[/URL_LINK][URL_TEXT]Piketty, Thomas; Zucman, Gabriel (2014).Capital is back: Wealth-Income ratios in Rich Countries 1700-2010. Series updated by Luis Bauluz.[/URL_TEXT][/URL]"
AU;Australia;sptinc992j;p99p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Fiscal income rescaled to match the macroeconomic aggregates.;WID.world computations using fiscal and net national income.
AU;Australia;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; 
AU;Australia;shweal992i;p99p100;share;Net personal wealth. Share Adults. individuals;Net personal wealth share held by a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; 
AU;Australia;anweal992i;p0p100;"AUD; Australian dollar";Market-value national wealth. Average Adults. individuals;Average Market-value national wealth within a given percentile group. Net national wealth is the total value of assets (cash, housing, bonds, equities, etc.) owned by the national economy, minus its debts. The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;[Market-value national wealth ]=[National non-financial assets (market value)]+[Net foreign assets];;"[URL][URL_LINK]http://wid.world/document/revised-extended-national-wealth-series-australia-canada-france-germany-italy-japan-uk-usa-wid-world-technical-note-2017-23/[/URL_LINK][URL_TEXT]Piketty, Thomas; Zucman, Gabriel (2014).Capital is back: Wealth-Income ratios in Rich Countries 1700-2010. Series updated by Luis Bauluz.[/URL_TEXT][/URL]"
AT;Austria;agdpro992i;p0p100;"EUR; Euro";Gross domestic product. Average Adults. individuals;Average Gross domestic product within a given percentile group. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;;GDP level in 2016 from the UN SNA main tables. Until 1959, we use the GDP growth rates from Maddison (2007). Between 1960 and 1969, we use the GDP growth rates from the World Bank. Between 1970 and 2015, we use the GDP growth rates from the UN SNA main tables.  After 2016, we use the GDP growth rates from the World Bank Global Economic Monitor.;"WID.world computations using: [URL][URL_LINK]http://data.worldbank.org/[/URL_LINK][URL_TEXT]World Bank[/URL_TEXT][/URL]; [URL][URL_LINK]http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTDECPROSPECTS/0,,contentMDK:22855732~menuPK:6080253~pagePK:64165401~piPK:64165026~theSitePK:476883,00.html[/URL_LINK][URL_TEXT]World Bank[/URL_TEXT][/URL]; [URL][URL_LINK]http://unstats.un.org/unsd/snaama/Introduction.asp[/URL_LINK][URL_TEXT]United Nations National Accounts Main Aggregates Database[/URL_TEXT][/URL]; [URL][URL_LINK]http://www.ggdc.net/maddison/other_books/Contours_World_Economy.pdf[/URL_LINK][URL_TEXT]Maddison, Angus (2007). Contours of the World Economy 1-2030 AD.[/URL_TEXT][/URL]"
AT;Austria;sptinc992t;p99p100;share;Pre-tax national income. Share Adults. tax unit;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]; ; 
