,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
0,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1965,1965,USD,US Dollar,9,Billions,,,167.02200000000002,,
1,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1966,1966,USD,US Dollar,9,Billions,,,186.065,,
2,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1967,1967,USD,US Dollar,9,Billions,,,208.577,,
3,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1968,1968,USD,US Dollar,9,Billions,,,218.623,,
4,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1969,1969,USD,US Dollar,9,Billions,,,261.468,,
5,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1970,1970,USD,US Dollar,9,Billions,,,276.72700000000003,,
6,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1971,1971,USD,US Dollar,9,Billions,,,278.738,,
7,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1972,1972,USD,US Dollar,9,Billions,,,313.091,,
8,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1973,1973,USD,US Dollar,9,Billions,,,348.79400000000004,,
9,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1974,1974,USD,US Dollar,9,Billions,,,389.542,,
10,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1975,1975,USD,US Dollar,9,Billions,,,415.38599999999997,,
11,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1976,1976,USD,US Dollar,9,Billions,,,450.017,,
12,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1977,1977,USD,US Dollar,9,Billions,,,525.97,,
13,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1978,1978,USD,US Dollar,9,Billions,,,588.261,,
14,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1979,1979,USD,US Dollar,9,Billions,,,662.5189999999999,,
15,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1980,1980,USD,US Dollar,9,Billions,,,730.672,,
16,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1981,1981,USD,US Dollar,9,Billions,,,832.93,,
17,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1982,1982,USD,US Dollar,9,Billions,,,871.205,,
18,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1983,1983,USD,US Dollar,9,Billions,,,872.628,,
19,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1984,1984,USD,US Dollar,9,Billions,,,973.472,,
20,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1985,1985,USD,US Dollar,9,Billions,,,1069.914,,
21,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1986,1986,USD,US Dollar,9,Billions,,,1127.958,,
22,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1987,1987,USD,US Dollar,9,Billions,,,1247.323,,
23,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1988,1988,USD,US Dollar,9,Billions,,,1334.154,,
24,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1989,1989,USD,US Dollar,9,Billions,,,1447.7779999999998,,
25,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1990,1990,USD,US Dollar,9,Billions,,,1552.4129999999998,,
26,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1991,1991,USD,US Dollar,9,Billions,,,1592.211,,
27,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1992,1992,USD,US Dollar,9,Billions,,,1678.736,,
28,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1993,1993,USD,US Dollar,9,Billions,,,1779.819,,
29,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1994,1994,USD,US Dollar,9,Billions,,,1915.4932,,
30,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1995,1995,USD,US Dollar,9,Billions,,,2028.32717,,
31,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1996,1996,USD,US Dollar,9,Billions,,,2183.3298,,
32,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1997,1997,USD,US Dollar,9,Billions,,,2357.4898,,
33,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1998,1998,USD,US Dollar,9,Billions,,,2525.496,,
34,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,1999,1999,USD,US Dollar,9,Billions,,,2690.1952,,
35,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2000,2000,USD,US Dollar,9,Billions,,,2900.51906,,
36,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2001,2001,USD,US Dollar,9,Billions,,,2884.72987,,
37,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2002,2002,USD,US Dollar,9,Billions,,,2738.0001399999996,,
38,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2003,2003,USD,US Dollar,9,Billions,,,2808.50893,,
39,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2004,2004,USD,US Dollar,9,Billions,,,3022.4482399999997,,
40,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2005,2005,USD,US Dollar,9,Billions,,,3395.58394,,
41,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2006,2006,USD,US Dollar,9,Billions,,,3694.3318600000002,,
42,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2007,2007,USD,US Dollar,9,Billions,,,3867.40457,,
43,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2008,2008,USD,US Dollar,9,Billions,,,3781.22157,,
44,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2009,2009,USD,US Dollar,9,Billions,,,3318.69551,,
45,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2010,2010,USD,US Dollar,9,Billions,,,3515.77278,,
46,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2011,2011,USD,US Dollar,9,Billions,,,3708.70713,,
47,NES,Total,TOTALTAX,Total tax revenue,TAXNAT,Tax revenue in national currency,USA,United States,2012,2012,USD,US Dollar,9,Billions,,,3888.46977,,
