,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
0,9/28/2007,Se jie,15000000,4604982,65167430
1,10/21/2005,"Kiss Kiss, Bang Bang",15000000,4235837,16829464
2,4/30/1999,Idle Hands,15000000,4023741,4023741
3,10/30/2015,Scouts Guide to the Zombie Apocalypse,15000000,3703046,15554855
4,1/26/2007,Blood and Chocolate,15000000,3526588,6551310
5,9/22/2010,You Will Meet a Tall Dark Stranger,15000000,3247816,34247816
6,9/15/2010,Never Let Me Go,15000000,2434652,11173718
7,12/25/2003,The Company,15000000,2281585,3396508
8,7/18/2008,Transsiberian,15000000,2203641,6379575
9,10/22/1999,Crazy in Alabama,15000000,1954202,1954202
10,1/17/1986,The Clan of the Cave Bear,15000000,1953732,1953732
11,3/14/2008,Funny Games,15000000,1294640,8200127
12,6/2/2006,Banlieue 13,15000000,1200216,11599903
13,11/12/1999,Felicia's Journey,15000000,824295,1970268
14,1/25/2002,Metropolis,15000000,673414,1405032
15,10/16/2015,Nie yin niang,15000000,632542,6832542
16,12/1/1995,Things to Do in Denver when You're Dead,15000000,529766,529766
17,4/26/2013,The Reluctant Fundamentalist,15000000,528731,528731
18,2/6/2004,The Return,15000000,501752,5953886
19,7/25/2003,Buffalo Soldiers,15000000,353743,353743
20,4/25/2003,Steal (Canadian Release),15000000,220944,220944
21,8/27/2010,Centurion,15000000,123570,7885048
22,10/23/2009,Ong-Bak 2,15000000,102458,7583050
23,12/31/1996,Silent Trigger,15000000,76382,76382
24,8/1/2008,Midnight Meat Train,15000000,73548,1590246
25,9/6/2013,Winnie Mandela,15000000,61847,61847
26,11/4/2011,The Son of No One,15000000,30680,1148578
27,10/25/2002,All the Queen's Men,15000000,22723,22723
28,10/5/2007,The Good Night,15000000,22441,22441
29,12/6/2013,Khumba,15000000,0,20898221
30,5/5/2015,A Few Best Men,15000000,0,17224539
31,10/10/2014,Automata,15000000,0,6775458
32,12/31/2015,Chiamatemi Francesco - Il papa della gente,15000000,0,3454036
33,12/31/2008,Bathory,15000000,0,3436763
34,12/31/2005,Dungeons & Dragons: Wrath of the Dragon God,15000000,0,909822
35,2/17/2017,In Dubious Battle,15000000,0,214182
36,9/1/2015,Broken Horses,15000000,0,3471
37,6/29/2001,Pandaemonium,15000000,0,0
38,2/5/2010,Shinjuku Incident,15000000,0,0
39,8/10/2018,The Meg,15000000,0,0
40,2/12/1993,Groundhog Day,14600000,70906973,70906973
41,7/1/2015,Magic Mike XXL,14500000,66013057,123709460
42,11/1/1996,Romeo+Juliet,14500000,46338728,147542381
43,7/22/2011,Elle s'appelait Sarah,14500000,7691700,25480031
44,6/5/2015,Freedom,14500000,0,812783
45,8/7/1992,Unforgiven,14400000,101157447,159157447
46,1/27/2006,Manderlay,14200000,74205,543306
47,3/23/1990,Pretty Woman,14000000,178406268,432645872
48,9/18/1987,Fatal Attraction,14000000,156645693,320100000
49,11/12/2008,Slumdog Millionaire,14000000,141330703,384530440
50,12/17/1974,Towering Inferno,14000000,116000000,139700000
51,5/25/1988,Crocodile Dundee 2,14000000,109306210,239606210
52,12/20/1989,Born on the Fourth of July,14000000,70001698,70001698
53,10/1/1993,Cool Runnings,14000000,68856263,155056263
54,1/12/2007,Stomp the Yard,14000000,61356221,75525718
55,1/16/2009,My Bloody Valentine,14000000,51545952,102836002
56,8/31/2012,The Possession,14000000,49130588,82925064
57,10/22/1982,First Blood,14000000,47212904,125212904
58,7/13/1977,The Spy Who Loved Me,14000000,46800000,185400000
59,9/25/1998,Urban Legend,14000000,38116707,72571864
60,12/9/1981,Taps,14000000,35856053,35856053
61,2/24/2012,Tyler Perry's Good Deeds,14000000,35025791,35579177
62,1/18/1991,White Fang,14000000,34729091,34729091
63,12/21/1988,Dangerous Liaisons,14000000,34700000,34700000
64,10/8/1999,Superstar,14000000,30628981,30628981
65,1/13/2012,The Iron Lady,14000000,29959436,115592104
66,7/23/1993,Poetic Justice,14000000,27450453,27450453
67,10/4/2002,Jonah: A VeggieTales Movie,14000000,25571351,25608779
68,3/8/2002,All About the Benjamins,14000000,25482931,25873145
69,6/17/1977,Exorcist II: The Heretic,14000000,25011000,25011000
70,3/12/2010,Our Family Wedding,14000000,20255281,21410546
71,10/27/1995,Vampire in Brooklyn,14000000,19637147,19637147
72,5/5/2006,An American Haunting,14000000,16298046,30443277
73,8/22/2003,My Boss's Daughter,14000000,15549702,15549702
74,8/7/2009,A Perfect Getaway,14000000,15515460,22815460
75,10/25/1996,Thinner,14000000,15171475,15171475
76,8/21/1998,Dead Man on Campus,14000000,15064948,15064948
77,5/14/1999,Tea with Mussolini,14000000,14395874,14395874
78,6/22/1977,"New York, New York",14000000,13800000,13800000
79,4/26/2002,Jason X,14000000,13121555,16951798
80,5/13/1994,Crooklyn,14000000,13024170,13024170
81,3/16/2007,I Think I Love My Wife,14000000,12559771,13205411
82,2/20/2015,Hot Tub Time Machine 2,14000000,12314651,12452601
83,11/17/2006,Bobby,14000000,11242801,20597806
84,2/2/2001,Head Over Heels,14000000,10397365,10397365
85,10/26/2012,Fun Size,14000000,9409538,11166615
86,4/23/1999,Lost and Found,14000000,6552255,6552255
87,11/30/2007,Le Scaphandre et le Papillon,14000000,5990075,22754472
88,10/6/2006,Little Children,14000000,5463019,14121177
89,4/21/2000,Gossip,14000000,5108820,12591270
90,3/26/1999,A Walk on the Moon,14000000,4741987,4741987
91,10/23/2015,Suffragette,14000000,4702420,34044909
92,10/27/2006,Catch a Fire,14000000,4299773,5782198
93,12/19/2014,Mr. Turner,14000000,3958546,25187026
94,9/7/2001,Soul Survivors,14000000,3100650,4288246
95,5/22/2009,Easy Virtue,14000000,2656784,20537741
96,3/31/1995,Jefferson in Paris,14000000,2461628,2461628
97,8/6/2010,Flipped,14000000,1755212,4289993
98,1/1/1978,Caravans,14000000,1000000,1000000
99,6/25/2010,Les herbes folles,14000000,403952,1903952
100,1/24/2003,Amen,14000000,274299,274299
101,9/26/2008,The Lucky Ones,14000000,266967,266967
102,9/30/2011,Margaret,14000000,47185,623292
103,11/1/2016,Reign of Assassins,14000000,0,11354230
104,10/27/2009,Stan Helsing: A Parody,14000000,0,1553556
105,12/9/2005,Brokeback Mountain,13900000,83043761,177012173
106,7/1/1995,Clueless,13700000,56598476,56598476
107,12/31/2008,Ca$h,13700000,0,11738256
108,3/30/1990,Teenage Mutant Ninja Turtles,13500000,135265915,202000000
109,10/5/1956,The Ten Commandments,13500000,80000000,80000000
110,11/8/2002,Far From Heaven,13500000,15901849,29027914
111,10/12/2012,Seven Psychopaths,13500000,15024049,33035736
112,11/22/2000,Quills,13500000,7060876,11732088
113,1/29/1982,The Border,13500000,6118683,6118683
114,2/18/2005,Der Untergang,13500000,5501940,93631744
115,3/2/2001,The Caveman's Valentine,13500000,687081,892506
116,4/1/2011,The Last Godfather,13400000,164247,164247
117,4/4/2014,Under the Skin,13300000,2614251,7229933
118,12/17/2004,Mar adentro,13300000,2086345,39686345
119,9/12/2014,No Good Deed,13200000,52543632,54323210
120,12/23/1987,Good Morning Vietnam,13000000,123922370,123922370
121,12/3/2010,Black Swan,13000000,106954678,331266710
122,1/12/2001,Save the Last Dance,13000000,91038276,122244329
123,2/11/2011,Justin Bieber: Never Say Never,13000000,73013910,99034125
124,3/16/2016,Miracles from Heaven,13000000,61705123,73798720
125,2/11/2000,Snow Day,13000000,60008303,62452927
126,1/23/2004,The Butterfly Effect,13000000,57924679,95638592
127,12/11/1974,The Godfather: Part II,13000000,57300000,57300000
128,6/24/2016,The Shallows,13000000,55121623,118888025
129,7/17/1987,RoboCop,13000000,53424681,53424681
130,7/4/2018,The First Purge,13000000,52929930,76023230
131,8/19/1988,A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,49369899
132,11/21/2007,This Christmas,13000000,49121934,49733545
133,2/14/2014,About Last Night,13000000,48637684,50445860
134,12/15/2000,"Dude, Where's My Car?",13000000,46729374,73180297
135,8/12/1988,Young Guns,13000000,44726644,44726644
136,10/10/2014,St. Vincent,13000000,44137712,54837234
137,7/2/2014,Earth to Echo,13000000,38934842,42174545
138,3/31/1999,10 Things I Hate About You,13000000,38177966,60414025
139,5/10/2002,The New Guy,13000000,28972187,28972187
140,2/5/1993,Loaded Weapon 1,13000000,27979399,27979399
141,3/12/1999,Baby Geniuses,13000000,27151490,27151490
142,4/24/1998,The Big Hit,13000000,27066941,27066941
143,11/9/1990,Child's Play 2,13000000,26904572,34166572
144,7/10/1996,Harriet the Spy,13000000,26570048,26570048
145,3/1/2013,21 and Over,13000000,25682380,42195766
146,11/21/2007,The Mist,13000000,25593755,57189408
147,4/10/2015,Ex Machina,13000000,25440971,38358392
148,10/29/1999,Being John Malkovich,13000000,22858926,32382381
149,9/7/2001,Two Can Play That Game,13000000,22235901,22391450
150,3/11/2016,Eye in the Sky,13000000,18704596,34916128
151,3/22/2013,Admission,13000000,18007317,18733666
152,9/21/2012,The Perks of Being a Wallflower,13000000,17742948,33069303
153,6/29/2001,crazy/beautiful,13000000,16929123,19929123
154,8/28/1998,54,13000000,16757163,16757163
155,10/16/2015,Room,13000000,14677674,36262783
156,10/16/2015,Woodlawn,13000000,14394097,14403703
157,12/20/2006,Letters from Iwo Jima,13000000,13756082,67867998
158,5/29/2009,MÃ¤n som hatar kvinnor,13000000,12749992,109421911
159,2/23/2007,The Astronaut Farmer,13000000,11003643,11141213
160,6/12/1998,Dirty Work,13000000,10020081,10020081
161,5/8/1998,Woo,13000000,8064972,8064972
162,9/9/2016,Robinson Crusoe,13000000,8005586,30708101
163,4/13/1994,Serial Mom,13000000,7881335,7881335
164,8/4/1999,Dick,13000000,6276869,6276869
165,11/10/1999,Light It Up,13000000,5871603,5871603
166,8/24/2001,Bubble Boy,13000000,5002310,5002310
167,2/1/2002,Birthday Girl,13000000,4919896,8130727
168,5/4/2007,"Paris, je t'aime",13000000,4857374,5175088
169,8/24/2007,Resurrecting the Champ,13000000,3172382,3260555
170,3/26/2010,Chloe,13000000,3075255,11831131
171,3/2/2001,The Widow of St. Pierre,13000000,3058380,3058380
172,4/5/1996,Faithful,13000000,2104439,2104439
173,2/26/2010,Un ProphÃ¨te,13000000,2087720,19910624
174,12/3/2010,"I Love You, Phillip Morris",13000000,2037459,23014027
175,7/24/2015,The Vatican Tapes,13000000,1784763,14999638
176,3/17/2006,Find Me Guilty,13000000,1173673,2898225
177,5/14/1993,Excessive Force,13000000,1152117,1152117
178,10/13/2006,Infamous,13000000,1151330,2613717
179,7/29/2011,Attack the Block,13000000,1024175,6459183
180,8/14/2015,Brothers,13000000,656688,17856688
181,12/29/2000,The Claim,13000000,622023,1375635
182,12/23/2011,In The Land of Blood and Honey,13000000,303877,509193
183,6/18/2010,The Killer Inside Me,13000000,217277,3617277
184,3/30/2012,Womb,13000000,0,0
185,3/15/2013,The Call,12800000,51872378,69821476
186,8/5/2016,Operation Chromite,12700000,1022720,49196532
187,9/12/2014,The Drop,12600000,10724389,19054534
188,7/12/2002,The Crocodile Hunter: Collision Course,12500000,28436931,33436931
189,9/3/2010,Machete,12500000,26593646,46370970
190,12/19/2002,Antwone Fisher,12500000,21078145,23367586
191,2/12/1982,La Guerre du feu,12500000,20959585,20959585
192,11/22/2002,The Emperor's Club,12500000,14060950,16193713
193,9/10/1993,True Romance,12500000,12281000,12309980
194,9/11/2009,Sorority Row,12500000,11965282,26735797
195,9/30/1992,Glengarry Glen Ross,12500000,10725228,10725228
196,11/7/2008,The Boy in the Striped Pyjamas,12500000,9046156,44083403
197,4/2/1982,Cat People,12500000,7000000,21000000
198,5/25/1979,The Prisoner of Zenda,12500000,7000000,7000000
199,10/15/2010,Conviction,12500000,6797696,11826980
200,10/12/2007,Lars and the Real Girl,12500000,5956480,11277119
201,5/21/2010,Solitary Man,12500000,4360548,4360548
202,9/22/2000,Dancer in the Dark,12500000,4157491,45557491
203,12/17/2010,Casino Jack,12500000,2039869,2272186
204,12/31/1997,Oscar and Lucinda,12500000,1612957,1612957
205,11/1/1996,The Funeral,12500000,1212799,1412799
206,9/3/2004,Tae Guik Gi: The Brotherhood of War,12500000,1110186,69826708
207,4/16/2010,The Perfect Game,12500000,1089445,3931367
208,10/5/2012,The Paperboy,12500000,677200,3522153
209,3/1/2013,Ernest et Celestine,12500000,292562,9376444
210,5/4/2012,A Little Bit of Heaven,12500000,10011,1100287
211,11/18/1988,The Land Before Time,12300000,48092846,81972846
212,6/20/1975,Jaws,12000000,260000000,470700000
213,12/26/1973,The Exorcist,12000000,204868002,402735134
214,6/6/2014,The Fault in Our Stars,12000000,124872350,307166834
215,7/9/1999,American Pie,12000000,101800948,234723148
216,4/20/2012,Think Like a Man,12000000,91547205,113373764
217,4/16/2014,Heaven is for Real,12000000,91386097,100919111
218,12/12/1986,The Golden Child,12000000,79817937,79817937
219,6/4/1982,Star Trek II: The Wrath of Khan,12000000,78912963,95800000
220,9/13/2002,Barbershop,12000000,75781642,77063461
221,6/3/1983,WarGames,12000000,74433837,74433837
222,2/4/1994,Ace Ventura: Pet Detective,12000000,72217396,107217396
223,2/24/2012,Act of Valor,12000000,70012847,82497035
224,2/8/1985,Witness,12000000,65532576,65532576
225,8/11/2006,Step Up,12000000,65328121,110989157
226,2/3/2012,Chronicle,12000000,64575175,123681790
227,12/20/1996,Beavis and Butt-Head Do America,12000000,63118386,63118386
228,1/1/1970,Patton,12000000,62500000,62500000
229,3/2/2012,Project X,12000000,54731865,103028188
230,11/10/2017,"Three Billboards Outside Ebbing, Missouri",12000000,54513740,153466153
231,11/25/2016,Lion,12000000,51739495,149875676
232,5/4/2018,Overboard,12000000,50316123,86313658
233,12/25/1997,Jackie Brown,12000000,39673162,74727492
234,11/18/1983,Yentl,12000000,39012241,39012241
235,4/25/2008,Harold & Kumar Escape from Guantanamo Bay,12000000,38108728,43353117
236,11/22/2013,Philomena,12000000,37709979,98963392
237,11/6/1981,Time Bandits,12000000,37400000,37400000
238,2/15/2002,Crossroads,12000000,37188667,57000000
239,7/24/2015,Paper Towns,12000000,32000304,85512300
240,10/10/2008,Quarantine,12000000,31691811,41924774
241,8/21/2002,One Hour Photo,12000000,31597131,52223306
242,2/1/2008,The Eye,12000000,31418697,57577765
243,4/7/2004,Johnson Family Vacation,12000000,31203964,31286759
244,12/21/2001,How High,12000000,31155435,31222395
245,10/7/1960,Spartacus,12000000,30000000,60000000
246,9/1/2006,Crank,12000000,27838408,43924923
247,12/11/1992,The Muppet Christmas Carol,12000000,27281507,27492918
248,8/12/2016,Hell or High Water,12000000,27007844,37584304
249,10/25/2002,Frida,12000000,25885000,56131239
250,7/5/2012,Katy Perry: Part of Me,12000000,25326071,32700439
251,12/12/2014,Top Five,12000000,25317379,25514848
252,9/11/1998,Rounders,12000000,22921898,22921898
253,4/28/1967,Casino Royale,12000000,22744718,41744718
254,6/15/1979,Prophecy,12000000,22673340,22673340
255,1/30/2015,Project Almanac,12000000,22348241,32909437
256,5/14/2010,Just Wright,12000000,21540363,21867665
257,9/10/1999,Stir of Echoes,12000000,21133087,21133087
258,1/13/1995,Tales from the Crypt: Demon Knight,12000000,21089146,21089146
259,1/1/1978,The Boys from Brazil,12000000,19000000,19000000
260,3/11/2005,The Upside of Anger,12000000,18761993,28915761
261,3/3/2006,Aquamarine,12000000,18597342,22978953
262,11/15/2013,Nebraska,12000000,17654912,24761360
263,1/9/2004,My Baby's Daddy,12000000,17321573,17322212
264,10/5/2001,Max Keeble's Big Move,12000000,17292381,17292381
265,12/9/2011,Young Adult,12000000,16311571,22750356
266,11/1/2013,About Time,12000000,15323921,89309178
267,7/14/2017,Wish Upon,12000000,14301505,23477345
268,8/6/1997,Def Jam's How To Be a Player,12000000,14010363,14010363
269,10/30/1998,Living Out Loud,12000000,12905901,12905901
270,10/3/2008,Rachel Getting Married,12000000,12796861,17475475
271,3/20/1981,The Postman Always Rings Twice,12000000,12200000,44200000
272,12/12/2003,Girl with a Pearl Earring,12000000,11634362,43274797
273,2/10/1982,Das Boot,12000000,11487676,84970337
274,4/21/2017,Unforgettable,12000000,11368012,16233456
